03:07.4,2021-13,A69-1602-41962,34.4,-119.5,8.751690132,M,152,-13307527.3,4082539.357,1.006941828,176.6955411,100-200,1,0.791666667
15:25.6,2021-13,A69-1602-41962,34.4,-119.6,9.236238136,M,152,-13308528.19,4083521.315,1.007079296,176.7002213,100-200,1,0.791666667
16:11.5,2021-13,A69-1602-41962,34.4,-119.6,6.723660842,M,152,-13308533.66,4083560.325,1.007080751,176.7002709,100-200,1,0.791666667
17:55.4,2021-13,A69-1602-41962,34.4,-119.6,8.815147061,M,152,-13308542.59,4083642.059,1.007084044,176.700383,100-200,1,0.791666667
22:09.6,2021-13,A69-1602-41962,34.4,-119.6,7.833131377,M,152,-13308685.82,4083711.764,1.007092099,176.7006573,100-200,1,0.791666667
26:28.0,2021-13,A69-1602-41962,34.4,-119.6,9.523514057,M,152,-13308825.38,4083868.627,1.007100286,176.700936,100-200,1,0.791666667
27:44.6,2021-13,A69-1602-41962,34.4,-119.6,7.66382986,M,152,-13308874.96,4083844.326,1.007102715,176.7010187,100-200,1,0.791666667
29:53.6,2021-13,A69-1602-41962,34.4,-119.6,5.888929885,M,152,-13308976.44,4083858.942,1.007106802,176.7011578,100-200,1,0.791666667
31:07.6,2021-13,A69-1602-41962,34.4,-119.6,6.211817291,M,152,-13309026.43,4083898.228,1.007109148,176.7012377,100-200,1,0.791666667
33:00.6,2021-13,A69-1602-41962,34.4,-119.6,5.959065904,M,152,-13309060.69,4083983.678,1.007112727,176.7013596,100-200,1,0.791666667
00:10.1,2021-13,A69-1602-41962,34.4,-119.6,9.568074657,M,152,-13309163.63,4084053.767,1.007164364,176.7031176,100-200,1,0.791666667
02:21.8,2021-13,A69-9001-4705,34.4,-119.6,6.112936868,M,199,-13309076.57,4084003.857,1.007168536,176.7032596,100-200,1,0.791666667
02:26.7,2021-13,A69-1602-41962,34.4,-119.6,6.051613138,M,152,-13309073.86,4084000.335,1.007168691,176.7032649,100-200,1,0.791666667
03:18.5,2021-13,A69-1602-41962,34.4,-119.6,5.463798953,M,152,-13309063.68,4083967.334,1.007170334,176.7033208,100-200,1,0.791666667
06:19.4,2021-13,A69-9001-4705,34.4,-119.6,5.4931842,M,199,-13309030.64,4083855.615,1.007176065,176.703516,100-200,1,0.791666667
11:34.4,2021-13,A69-9001-4705,34.4,-119.6,5.601110363,M,199,-13308825.17,4083816.226,1.007186046,176.7038557,100-200,1,0.791666667
13:55.4,2021-13,A69-1602-41962,34.4,-119.6,5.921442446,M,152,-13308720.91,4083763.678,1.007190516,176.7040079,100-200,1,0.791666667
15:07.9,2021-13,A69-1602-41962,34.4,-119.6,6.203107045,M,152,-13308662.84,4083755.982,1.007192812,176.7040861,100-200,1,0.791666667
15:37.7,2021-13,A69-9001-4705,34.4,-119.6,6.147558128,M,199,-13308647.66,4083740.499,1.007193758,176.7041183,100-200,1,0.791666667
18:51.7,2021-13,A69-1602-41962,34.4,-119.6,8.633058835,M,152,-13308634.21,4083636.832,1.007199903,176.7043275,100-200,1,0.791666667
21:20.8,2021-13,A69-1602-41962,34.4,-119.6,4.261583694,M,152,-13308619.86,4083520.247,1.007204628,176.7044884,100-200,1,0.791666667
22:21.5,2021-13,A69-1602-41962,34.4,-119.6,4.1737392,M,152,-13308595.81,4083478.603,1.007206553,176.7045539,100-200,1,0.791666667
26:00.3,2021-13,A69-1602-41962,34.4,-119.6,5.881459143,M,152,-13308432.32,4083402.698,1.007213485,176.7047899,100-200,1,0.791666667
36:30.8,2021-13,A69-1602-41962,34.4,-119.5,5.008021161,M,152,-13308054.54,4083241.129,1.007233464,176.7054701,100-200,1,0.791666667
41:28.9,2021-13,A69-1602-41962,34.4,-119.5,8.754696004,M,152,-13307992.38,4083089.155,1.007242912,176.7057918,100-200,1,0.791666667
44:46.8,2021-13,A69-9001-4705,34.4,-119.5,9.211446251,M,199,-13307824.9,4083033.11,1.007249183,176.7060053,100-200,1,0.791666667
58:42.6,2021-13,A69-9001-4705,34.4,-119.5,7.327472791,M,199,-13307387.07,4082073.397,1.007389745,176.7107908,100-200,1,0.791666667
21:52.2,2021-13,A69-1602-41962,34.4,-119.5,6.221810203,M,152,-13307885.44,4082855.779,1.007433777,176.7122899,100-200,1,0.791666667
23:11.5,2021-13,A69-1602-41962,34.4,-119.5,8.059482429,M,152,-13307869.28,4082926.662,1.007436291,176.7123755,100-200,1,0.791666667
24:27.4,2021-13,A69-1602-41962,34.4,-119.5,4.429089213,M,152,-13307872.38,4082990.15,1.007438696,176.7124574,100-200,1,0.791666667
